출발역,도착역,일반실 운임
곡성,공주,15400
곡성,구례구,10900
곡성,남원,7500
곡성,동탄,32200
곡성,수서,36700
곡성,순천,10900
곡성,여수EXPO,11900
곡성,여천,10900
곡성,오송,21600
곡성,익산,9600
곡성,전주,7500
곡성,천안아산,25600
곡성,평택지제,29100
공주,곡성,22300
공주,광주송정,28100
공주,구례구,24900
공주,나주,30300
공주,남원,19900
공주,동탄,17000
공주,목포,36800
공주,수서,21600
공주,순천,28600
공주,여수EXPO,33100
공주,여천,31800
공주,오송,7500
공주,익산,10900
공주,전주,12800
공주,정읍,18000
공주,천안아산,10400
공주,평택지제,14000
광주송정,공주,19400
광주송정,나주,10900
광주송정,동탄,36200
광주송정,목포,10900
광주송정,수서,40700
광주송정,오송,25600
광주송정,익산,13000
광주송정,정읍,7500
광주송정,천안아산,29800
광주송정,평택지제,33300
구례구,곡성,7500
구례구,공주,17200
구례구,남원,7500
구례구,동탄,34000
구례구,수서,38400
구례구,순천,10900
구례구,여수EXPO,10900
구례구,여천,10900
구례구,오송,23500
구례구,익산,11600
구례구,전주,9100
구례구,천안아산,27400
구례구,평택지제,31000
김천구미,대전,10400
김천구미,동대구,10900
김천구미,동탄,25700
김천구미,마산,24800
김천구미,밀양,17700
김천구미,부산,32600
김천구미,서대구,10900
김천구미,수서,30300
김천구미,신경주,18000
김천구미,오송,15100
김천구미,울산,23800
김천구미,진영,21000
김천구미,진주,31000
김천구미,창원,24200
김천구미,창원중앙,22900
김천구미,천안아산,19200
김천구미,평택지제,22800
나주,공주,20900
나주,광주송정,7500
나주,동탄,37600
나주,목포,10900
나주,수서,42100
나주,오송,27100
나주,익산,14400
나주,정읍,8400
나주,천안아산,31100
나주,평택지제,34700
남원,곡성,10900
남원,공주,13700
남원,구례구,10900
남원,동탄,30500
남원,수서,35200
남원,순천,10900
남원,여수EXPO,14400
남원,여천,13100
남원,오송,20000
남원,익산,7800
남원,전주,7500
남원,천안아산,24100
남원,평택지제,27600
대전,김천구미,15100
대전,동대구,24900
대전,동탄,15400
대전,마산,39600
대전,밀양,32900
대전,부산,47300
대전,서대구,24100
대전,수서,20100
대전,신경주,33100
대전,오송,7500
대전,울산,38700
대전,진영,36100
대전,진주,46100
대전,창원,39000
대전,창원중앙,37700
대전,천안아산,8800
대전,평택지제,12400
동대구,김천구미,7500
동대구,대전,17200
동대구,동탄,32500
동대구,마산,15500
동대구,밀양,10900
동대구,부산,22600
동대구,서대구,7500
동대구,수서,37000
동대구,신경주,10900
동대구,오송,21900
동대구,울산,13800
동대구,진영,11500
동대구,진주,22500
동대구,창원,14900
동대구,창원중앙,13500
동대구,천안아산,25900
동대구,평택지제,29500
동탄,곡성,46700
동탄,공주,24700
동탄,광주송정,52500
동탄,구례구,49300
동탄,김천구미,37300
동탄,나주,54500
동탄,남원,44200
동탄,대전,22300
동탄,동대구,47100
동탄,마산,61300
동탄,목포,61000
동탄,밀양,54500
동탄,부산,69200
동탄,서대구,46100
동탄,수서,7500
동탄,순천,52600
동탄,신경주,54800
동탄,여수EXPO,57300
동탄,여천,56000
동탄,오송,15500
동탄,울산,60500
동탄,익산,34100
동탄,전주,37300
동탄,정읍,42500
동탄,진영,57900
동탄,진주,67700
동탄,창원,60900
동탄,창원중앙,59700
동탄,천안아산,10900
동탄,평택지제,10900
마산,김천구미,17100
마산,대전,27300
마산,동대구,10700
마산,동탄,42300
마산,밀양,7500
마산,수서,46900
마산,오송,32000
마산,진영,7500
마산,진주,10900
마산,창원,7500
마산,창원중앙,7500
마산,천안아산,36000
마산,평택지제,39400
목포,공주,25400
목포,광주송정,7500
목포,나주,7500
목포,동탄,42100
목포,수서,46500
목포,오송,31600
목포,익산,19100
목포,정읍,13000
목포,천안아산,35600
목포,평택지제,39100
밀양,김천구미,12200
밀양,대전,22700
밀양,동대구,7500
밀양,동탄,37600
밀양,마산,10900
밀양,수서,42300
밀양,오송,27200
밀양,진영,10900
밀양,진주,14600
밀양,창원,10900
밀양,창원중앙,10900
밀양,천안아산,31300
밀양,평택지제,34800
부산,김천구미,22500
부산,대전,32600
부산,동대구,15600
부산,동탄,47700
부산,서대구,16300
부산,수서,52200
부산,신경주,10100
부산,오송,37300
부산,울산,7500
부산,천안아산,41200
부산,평택지제,44700
서대구,김천구미,7500
서대구,대전,16600
서대구,동대구,10900
서대구,동탄,31800
서대구,부산,23600
서대구,수서,36400
서대구,신경주,10900
서대구,오송,21300
서대구,울산,14900
서대구,천안아산,25200
서대구,평택지제,28800
수서,곡성,36700
수서,공주,21600
수서,광주송정,40700
수서,구례구,38400
수서,김천구미,30300
수서,나주,40700
수서,남원,35200
수서,대전,20100
수서,동대구,37400
수서,동탄,7500
수서,마산,46900
수서,목포,46500
수서,밀양,42300
수서,부산,52200
수서,서대구,36400
수서,순천,41000
수서,신경주,42700
수서,여수EXPO,43800
수서,여천,43100
수서,오송,15400
수서,울산,46400
수서,익산,28000
수서,전주,30300
수서,정읍,33900
수서,진영,44400
수서,진주,51100
수서,창원,46500
수서,창원중앙,45600
수서,천안아산,11300
수서,평택지제,7700
순천,곡성,7500
순천,공주,19700
순천,구례구,7500
순천,남원,7500
순천,동탄,36300
순천,수서,41000
순천,여수EXPO,10900
순천,여천,10900
순천,오송,25800
순천,익산,14300
순천,전주,11800
순천,천안아산,29900
순천,평택지제,33500
신경주,김천구미,12400
신경주,대전,22800
신경주,동대구,7500
신경주,동탄,37800
신경주,부산,14600
신경주,서대구,7500
신경주,수서,42400
신경주,오송,27400
신경주,울산,10900
신경주,천안아산,31400
신경주,평택지제,34900
여수EXPO,곡성,8200
여수EXPO,공주,22800
여수EXPO,구례구,7500
여수EXPO,남원,9900
여수EXPO,동탄,39500
여수EXPO,수서,43800
여수EXPO,순천,7500
여수EXPO,여천,7500
여수EXPO,오송,29000
여수EXPO,익산,17700
여수EXPO,전주,15300
여수EXPO,천안아산,32900
여수EXPO,평택지제,36500
여천,곡성,7500
여천,공주,21900
여천,구례구,7500
여천,남원,9000
여천,동탄,38600
여천,수서,43100
여천,순천,7500
여천,여수EXPO,10900
여천,오송,28100
여천,익산,16800
여천,전주,14300
여천,천안아산,32200
여천,평택지제,35700
오송,곡성,31300
오송,공주,10900
오송,광주송정,37100
오송,구례구,34100
오송,김천구미,21900
오송,나주,39300
오송,남원,29000
오송,대전,10900
오송,동대구,31800
오송,동탄,10700
오송,마산,46400
오송,목포,45800
오송,밀양,39400
오송,부산,54100
오송,서대구,30900
오송,수서,15400
오송,순천,37400
오송,신경주,39700
오송,여수EXPO,42100
오송,여천,40700
오송,울산,45400
오송,익산,18600
오송,전주,21900
오송,정읍,27100
오송,진영,42600
오송,진주,52600
오송,창원,45800
오송,창원중앙,44500
오송,천안아산,7500
오송,평택지제,7700
울산,김천구미,16400
울산,대전,26700
울산,동대구,9500
울산,동탄,41700
울산,부산,10900
울산,서대구,10300
울산,수서,46400
울산,신경주,7500
울산,오송,31300
울산,천안아산,35400
울산,평택지제,38800
익산,곡성,13900
익산,공주,7500
익산,광주송정,18900
익산,구례구,16800
익산,나주,20900
익산,남원,11300
익산,동탄,23500
익산,목포,27700
익산,수서,28000
익산,순천,20700
익산,여수EXPO,25700
익산,여천,24400
익산,오송,12800
익산,전주,10900
익산,정읍,10900
익산,천안아산,16900
익산,평택지제,20400
전주,곡성,10900
전주,공주,8800
전주,구례구,13200
전주,남원,10900
전주,동탄,25700
전주,수서,30300
전주,순천,17100
전주,여수EXPO,22200
전주,여천,20700
전주,오송,15100
전주,익산,7500
전주,천안아산,19200
전주,평택지제,22800
정읍,공주,12400
정읍,광주송정,10900
정읍,나주,12200
정읍,동탄,29300
정읍,목포,18900
정읍,수서,33900
정읍,오송,18700
정읍,익산,7500
정읍,천안아산,22800
정읍,평택지제,26400
진영,김천구미,14500
진영,대전,24900
진영,동대구,7900
진영,동탄,39900
진영,마산,10900
진영,밀양,7500
진영,수서,44400
진영,오송,29400
진영,진주,10900
진영,창원,10900
진영,창원중앙,10900
진영,천안아산,33500
진영,평택지제,37100
진주,김천구미,21400
진주,대전,31800
진주,동대구,15500
진주,동탄,46700
진주,마산,7500
진주,밀양,10100
진주,수서,51100
진주,오송,36300
진주,진영,7500
진주,창원,7500
진주,창원중앙,7500
진주,천안아산,40300
진주,평택지제,43800
창원,김천구미,16700
창원,대전,26900
창원,동대구,10300
창원,동탄,42000
창원,마산,10900
창원,밀양,7500
창원,수서,46500
창원,오송,31600
창원,진영,7500
창원,진주,10900
창원,창원중앙,7500
창원,천안아산,35700
창원,평택지제,39100
창원중앙,김천구미,15800
창원중앙,대전,26000
창원중앙,동대구,9300
창원중앙,동탄,41200
창원중앙,마산,10900
창원중앙,밀양,7500
창원중앙,수서,45600
창원중앙,오송,30700
창원중앙,진영,7500
창원중앙,진주,10900
창원중앙,창원,10900
창원중앙,천안아산,34700
창원중앙,평택지제,38200
천안아산,곡성,37100
천안아산,공주,15100
천안아산,광주송정,43200
천안아산,구례구,39700
천안아산,김천구미,27800
천안아산,나주,45100
천안아산,남원,34900
천안아산,대전,12800
천안아산,동대구,37600
천안아산,동탄,7500
천안아산,마산,52200
천안아산,목포,51600
천안아산,밀양,45400
천안아산,부산,59700
천안아산,서대구,36500
천안아산,수서,11300
천안아산,순천,43400
천안아산,신경주,45500
천안아산,여수EXPO,47700
천안아산,여천,46700
천안아산,오송,10900
천안아산,울산,51300
천안아산,익산,24500
천안아산,전주,27800
천안아산,정읍,33100
천안아산,진영,48600
천안아산,진주,58400
천안아산,창원,51800
천안아산,창원중앙,50300
천안아산,평택지제,7500
평택지제,곡성,42200
평택지제,공주,20300
평택지제,광주송정,48300
평택지제,구례구,45000
평택지제,김천구미,33100
평택지제,나주,50300
평택지제,남원,40000
평택지제,대전,18000
평택지제,동대구,42800
평택지제,동탄,7500
평택지제,마산,57100
평택지제,목포,56700
평택지제,밀양,50500
평택지제,부산,64800
평택지제,서대구,41800
평택지제,수서,7700
평택지제,순천,48600
평택지제,신경주,50600
평택지제,여수EXPO,52900
평택지제,여천,51800
평택지제,오송,11200
평택지제,울산,56300
평택지제,익산,29600
평택지제,전주,33100
평택지제,정읍,38300
평택지제,진영,53800
평택지제,진주,63500
평택지제,창원,56700
평택지제,창원중앙,55400
평택지제,천안아산,10900
